"id","output_or_claim","implementation_path","test_path","truth_source","evidence_class","status","priority","evidence","notes"
"TR-011","Extended numeric quartiles, IQR, variance, SEM, CV, Tukey fences, and outlier counts/percentages","R/summary_cores.R:43; R/epi_stats_numeric.R:65; R/eda_summaries.R:205","tests/testthat/test-epi_stats_numeric.R:9; tests/testthat/test-stats.R:137; tests/testthat/test-eda-summaries-v2.R:43","Small transparent numeric vectors and literal/base-stat expected formulas","hand_derived","partial","medium","Common finite cases and upper outliers are anchored, but na.rm=FALSE is accepted and unused and non-finite denominators and lower outliers lack discriminating truth.","The extended fields are not covered by the external expected-summary CSVs."
"TR-012","Skewness, kurtosis, and Shapiro-Wilk numerical values","R/summary_cores.R:61","tests/testthat/test-epi_stats_numeric.R:48; tests/testthat/test-eda-summaries-v2.R:119","No fixed expected statistic or independent reference found","none","gap","medium","Tests assert only numeric or NA gating and never compare an emitted shape or normality result with a known value.","These outputs are material analytical statistics exposed by both generic and EDA summaries."
"TR-013","Character, factor, and v2 text summaries including missing, empty, whitespace, lengths, top counts, and unused levels","R/summary_cores.R:147; R/epi_stats_chars.R:34; R/epi_stats_factors.R:20; R/epi_stats_fct_table.R:22","tests/testthat/test-epi_stats_chars.R:13; tests/testthat/test-epi_stats_factors.R:9; tests/testthat/test-epi_stats_fct_table.R:7; tests/testthat/test-summary-cores.R:47","Small explicit hand-authored strings and factors","hand_derived","adequate","low","Literal expectations distinguish string NA from missing NA, whitespace from empty strings, ordered factors, top counts, and zero-count declared levels.","No external semantic classification is claimed by these descriptive tests."
"TR-014","Date/datetime counts, endpoints, ranges, timezone representation, parsing, and quartiles","R/summary_cores.R:167; R/epi_stats_dates.R:24; R/eda_summaries.R:231","tests/testthat/test-summary-cores.R:55; tests/testthat/test-eda-summaries-v2.R:77; tests/testthat/test-eda-summaries-v2.R:129; tests/testthat/test-stats-dates.R:57","Small explicit Date and UTC instant fixtures","hand_derived","partial","medium","Endpoints, simple ranges, ISO parsing, and UTC representation are anchored; temporal quartiles, IQR/mode, local/DST boundaries, and ambiguous parsing are not.","Penguin min/max constants are useful regression checks but were introduced with the implementation and lack a separate expected fixture."
"TR-015","EDA plot dispatch selects histogram versus bar layers from the specification","R/eda_plots.R:38","tests/testthat/test-penguins-raw-fixtures.R:159; tests/testthat/test-eda_plots-fixtures.R:10","Separate rule in data-raw/test-fixtures/make_external_fixtures.R:97 and expected_plot_inventory.csv","cross_implementation","partial","medium","All 17 penguin variables are checked for GeomBar with StatBin or StatCount, but the reference rule closely parallels production and validates layer class only.","It does not establish displayed observations, counts, labels, bins, temporal scale, or appearance."
"TR-016","EDA plots display analytically eligible observations, including sentinel exclusions, correct counts/bins, labels, and date/time scales","R/eda_plots.R:38","tests/testthat/test-eda_plots-fixtures.R:21; tests/testthat/test-penguins-raw-fixtures.R:159","No independent plotted-data or rendered-image expectation found","none","gap","high","Plots use raw data values and ggplot NA removal; unlike summaries, they never apply configured sentinel codes, and tests inspect only object/layer classes.","Sentinel values excluded from tables can therefore remain in plot data without a failing truth test."
"TR-017","Rendered EDA HTML accurately contains analytical cells, denominators, dates, skip reasons, and plots","R/eda_report.R:17; inst/report-template/eda.qmd:18","tests/testthat/test-eda_report.R:40","File existence and generic section-word searches","smoke_only","gap","high","Tests find schema/missing/summary/plot words and output files but reconcile no rendered value with an independent expectation.","The template prints runtime objects directly, so successful rendering is not analytical validation."
"TR-018","epi_eda_run integration returns analytically correct component results","R/run_eda.R:16","tests/testthat/test-run_eda-fixtures.R:27","Direct comparison with epi_eda_check_schema(), epi_eda_profile_missing(), and epi_eda_profile_summaries() from the same package","internal_consistency","partial","medium","The orchestration test proves wiring agreement with component functions but supplies no independent end-to-end expected object.","Component-level independent evidence still applies where separately catalogued."
"TR-019","Machine-readable EDA CSV outputs preserve analytical values and types","R/run_eda.R:82; R/eda_report.R:42","tests/testthat/test-run_eda-fixtures.R:63; tests/testthat/test-eda_report.R:80; tests/testthat/test-eda-summaries-v2.R:196","Artifact existence and header comparison with the same runtime object","smoke_only","partial","medium","Tests verify filenames and selected headers, not cell-level round trips, NA encoding, numeric precision, date serialization, or full table reconciliation.","The output contract is more weakly validated than the in-memory component calculations."
"TR-020","Legacy plot visual appearance is correct","R/epi_plot_hist.R:67; R/epi_plot_box.R:67; R/epi_plot_bar.R:68; R/epi_plot_heatmap.R:45","tests/testthat/test-plotting.R:11; tests/testthat/_snaps/plotting/epi-plot-hist-1.svg","Committed vdiffr SVGs generated from prior package output","internal_consistency","gap","medium","Snapshots are regression baselines without independent visual truth and the entire vdiffr file is unconditionally skipped; the review test run did not exercise them.","The snapshots do not cover epi_eda_profile_plots()."
"TR-021","Event proportion is restricted to the requested analysis window in numerator and denominator","R/epi_stats_prop_outcome.R:25","tests/testthat/test-missing-functions.R:38","Five-row hand fixture in which every event happens to align with T0","hand_derived","partial","high","The fixture cannot detect cross-window leakage: implementation counts all outcome==1 rows at line 31 but filters only the denominator at line 34.","This is a high-consequence denominator/exclusion ambiguity for a function documented as usable for case fatality."
"TR-022","2x2 contingency frequency cells, missing-data denominators, and eligible-column selection","R/epi_stats_contingency_2x2.R:83; R/epi_stats_contingency_2x2.R:145","tests/testthat/test-combined_contingency_functions.R:28; tests/testthat/test-combined_contingency_functions.R:103","Generated input with structure, names, levels, and inclusion checks only","smoke_only","gap","high","Despite the test title, no Freq cell or missing-data denominator is asserted, and NA-as-a-unique-value eligibility is untested.","Correct table shape does not establish correct counts."
"TR-023","2x2 Fisher/chi-square method selection, estimates, p-values, and all-variable aggregation","R/epi_stats_contingency_2x2.R:117; R/epi_stats_contingency_2x2.R:153","tests/testthat/test-combined_contingency_functions.R:89; tests/testthat/test-combined_contingency_functions.R:117","Presence of broom output columns and p.value only","smoke_only","gap","high","No known estimate, p-value, method label, sparse table, missing-data case, or automatic Fisher-to-chi-square override is truth-checked.","Production changes a requested Fisher test under dimension/cell thresholds at lines 120-123."
"TR-024","NxN contingency cells, exclusions, group totals, and row-percentage denominators","R/epi_stats_contigency_nxn.R:26","tests/testthat/test-contingency_nxn.R:22; tests/testthat/test-combined_contingency_functions.R:74","Same-input marginal table checks and percentages-sum-to-100 invariants","internal_consistency","partial","high","Tests do not fix exact cells for missing data, zero denominators, non-Yes/No outcomes, or recoded levels; production injects Yes/No levels for every dependent variable.","Internal reconciliation is useful but cannot detect a consistently wrong inclusion rule."
"TR-025","Pearson and Spearman correlation coefficients","R/epi_stats_corr.R:40","tests/testthat/test-additional_coverage.R:62; tests/testthat/test-more_coverage.R:45","Perfectly linear small vectors with expected r=1","hand_derived","partial","medium","The perfect case is independently obvious, but no non-perfect coefficient, pairwise-missing case, or method-specific benchmark is present.","The evidence does not cover the broader analytical range of the function."
"TR-026","Correlation p-values, triangle extraction, relabelling, and heatmap cell-to-coordinate mapping","R/epi_stats_corr.R:60; R/epi_stats_corr_triangle.R:34; R/epi_stats_corr_rename.R:50; R/epi_plot_heatmap_triangle.R:61","tests/testthat/test-stats_corr_and_heatmap.R:50; tests/testthat/test-heatmap_triangle_show_values.R:41; tests/testthat/test-plotting.R:230","Objects derived from the same Hmisc result family plus skipped visual snapshots","internal_consistency","gap","medium","Tests validate structure and that plot layers receive runtime triangle objects, but no p-value or independently specified matrix cell/label mapping is asserted.","A wrong value propagated consistently through the pipeline would pass."
"TR-027","Consecutive date differences, monthly frequency windows, and date plot dispatch","R/epi_stats_dates.R:111; R/epi_plot_dates.R:22","tests/testthat/test-stats-dates.R:125; tests/testthat/test-epi_plot_dates.R:8","Mirrored diff(sort(as.numeric())) expression, two literal month counts, and geom-class checks","internal_consistency","partial","medium","January/February counts have a tiny hand anchor, while difference logic mirrors production and missing dates, month/year boundaries, timezone effects, and plotted values are untested.","This row is separate from the hand-derived endpoint/range evidence in TR-014."
"TR-028","Row-wise and column-wise ordinary-NA counts and percentages","R/epi_stats_na_perc.R:35","tests/testthat/test-stats.R:87","Small mixed-type 3x3 fixture with literal counts and percentages","hand_derived","adequate","low","The fixture independently establishes row and column denominators and that the string NA is not missing.","Older seeded literal checks in the same file are opaque but not needed for the common-case conclusion."
"TR-029","Sentinel exclusions and user-supplied denominators in epi_stats_summary()/epi_stats_tidy()","R/epi_stats_summary.R:25; R/epi_stats_tidy.R:25","tests/testthat/test-eda-summaries-v2.R:163; tests/testthat/test-additional_coverage.R:25; tests/testthat/test-stats.R:170","Small sentinel fixtures and a hand 5/10=50% check, mixed with opaque seeded regression literals","hand_derived","partial","medium","Core sentinel removal and a simple percentage are anchored, but perc_n is user supplied and never reconciled to the eligible population after exclusions.","Complex grouping and denominator composition remain under-specified."
"TR-030","Transpose preserves identifier values and correct row labels for an arbitrary ID column","R/epi_clean_transpose.R:41","tests/testthat/test-cleaning_functions.R:356; tests/testthat/test-additional_coverage.R:164","Expected str() fragments produced from the current transformation","internal_consistency","contradicted","high","Production excludes id_col_num from data but uses cols[-1] for row labels; the id_col_num=6 test explicitly expects shifted labels including id_col itself.","A read-only probe with id_col_num=3 also produced labels that did not match the transposed rows."
"TR-031","Nested dataframe merge is a full outer join that preserves left-only and right-only IDs","R/epi_clean_merge_nested_dfs.R:3; R/epi_clean_merge_nested_dfs.R:116","tests/testthat/test-cleaning_functions.R:283","No unmatched-ID expected table found","none","contradicted","high","The documented claim says full outer, but the default and merge calls set all.x=TRUE without all.y=TRUE; tests use overlapping IDs or inspect only type, suffix, dimension, and sort.","A read-only {1,2} to {2,3} probe returned only {1,2}."
"TR-032","Repeated-measure long-to-wide row/value association, visit exclusions, and uniqueness assumptions","R/epi_clean_spread_repeated.R:38; R/epi_clean_merge_nested_dfs.R:126","tests/testthat/test-cleaning_functions.R:268","Seeded str() fragments and merge tests fed by the function's own output","internal_consistency","partial","high","No hand-authored wide table covers unbalanced visits, duplicate ID/visit pairs, numeric zero or nonconsecutive visit codes, missing visit values, or unmatched IDs.","Using observed replicate values as list indices makes common zero-coded baseline behavior especially important to specify."
"TR-033","Lookup recoding preserves declared mappings and exposes unknown or unused codes","R/epi_clean_label.R:18","tests/testthat/test-clean-factor_labels.R:37","Small hand-authored source and lookup tables","hand_derived","adequate","low","Exact factor levels/labels are asserted and unknown input levels are expected to warn and become NA; unused lookup levels also warn.","This validates mechanics for numeric-looking codes, not the correctness of any external clinical coding dictionary."
"TR-034","File import infers intended missingness, identifiers, numeric, date, and datetime types","R/epi_read.R:33","tests/testthat/test-various_not_classed.R:14; tests/testthat/test-more_coverage.R:55; tests/testthat/test-additional_coverage.R:98","One self-generated TSV plus small temporary files for integers and custom NA strings","hand_derived","partial","medium","Simple integer and custom-NA behavior is independently checked, but dates, datetimes, leading-zero IDs, mixed columns, locale, sentinel defaults, and sampling-dependent inference are not.","The main TSV was produced using package epi_write(), so it adds internal-consistency evidence only."
"TR-035","Automatic low-cardinality factor inference preserves temporal types and semantic meaning","R/epi_clean_class_to_factor.R:49; R/epi_clean_cond_date.R:34","tests/testthat/test-cleaning_functions.R:163; tests/testthat/test-clean-cond-date-cow-save.R:12","Small hand fixture for low-cardinality numeric/character columns and Date","hand_derived","partial","medium","Basic conversions and Date preservation are checked, but POSIXct/POSIXlt preservation and independently declared semantic types are not.","Low cardinality alone is not an external semantic truth source."
"TR-036","Duplicate-ID extraction includes every record intended by the duplicate contract","R/epi_clean_get_dups.R:32","tests/testthat/test-cleaning_functions.R:40","Complete balanced hand fixture","hand_derived","partial","medium","The common complete-ID case is transparent, but table() excludes missing IDs and no test defines whether repeated NA identifiers should be retained.","This is an unanchored exclusion rule."
"TR-037","CURP-derived birth date, sex, state, and century boundary","R/epi_clean_curp.R:40","tests/testthat/test-curp_misc.R:10","Two hand-selected strings for 1990 and 2002; no authoritative CURP specification cited","hand_derived","partial","medium","The examples anchor two outputs but not the fixed YY<=22 century cutoff, boundary years, validation digits, or vector cases.","The review found no official source-to-field reconciliation in the repository."
"TR-038","Stratified subsampling preserves per-class fractions and avoids replacement","R/epi_sub_sample.R:16","tests/testthat/test-epi_sub_sample.R:3; tests/testthat/test-sub-sampling.R:1","Explicit 80/20 class counts plus seeded random fixtures and table-based invariants","hand_derived","partial","low","Expected per-class counts and uniqueness are checked, but missing outcomes, very small strata, rounding, ordered groups, and exact eligible-population rules are not.","The same grouping implementation is partly used to derive expected proportions."
"TR-039","Survfit conversion and Kaplan-Meier plot represent survival estimates, strata, and confidence limits correctly","R/epi_plot_km.R:17; R/epi_plot_km.R:67","tests/testthat/test-epi_plot_km.R:1","survival::survfit runtime object checked only for row count, column presence, ggplot class, and file existence","smoke_only","gap","medium","No known survival probability, risk set, censoring count, stratum parse, confidence bound, step coordinate, or visual expectation is asserted.","Using an external package to create the input is not a truth comparison when its values are not reconciled."
"TR-040","Synthetic EDA data obey specification constraints and deterministic seed behavior","R/eda_synthetic.R:12","tests/testthat/test-eda_synthetic-fixtures.R:27","Specification-derived bounds/levels, explicit integer edge cases, and same-seed equality","internal_consistency","partial","low","Tests strongly check structural constraints and integer bounds but do not establish distributional fidelity, missingness semantics, or suitability beyond workflow preparation.","Documentation correctly warns that synthetic output is not suitable for inference."
